# ptl4
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.43635265E-03	 0.33318033E-04
# sum	  1.6263938    	 0.93888562E-03
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	 0.22243053    	 0.40841817E-03
  15.000000    	  30.000000    	 0.86784048    	 0.65730126E-03
  30.000000    	  45.000000    	 0.47233387    	 0.47606176E-03
  45.000000    	  60.000000    	 0.40155271E-01	 0.15796424E-03
  60.000000    	  75.000000    	 0.12009413E-01	 0.10250028E-03
  75.000000    	  90.000000    	 0.55434888E-02	 0.89262120E-04
  90.000000    	  105.00000    	 0.29311382E-02	 0.75407186E-04
  105.00000    	  120.00000    	 0.14485472E-02	 0.53295500E-04
  120.00000    	  135.00000    	 0.86029780E-03	 0.45087599E-04
  135.00000    	  150.00000    	 0.40439297E-03	 0.30408565E-04
