PdfType: central
Format: lhagrid1
---
  1.00000000E-09  1.28050870E-09  1.63970270E-09  2.09965360E-09  2.68862480E-09  3.44280760E-09  4.40854520E-09  5.64518080E-09  7.22870340E-09  9.25641790E-09  1.18529240E-08  1.51777730E-08  1.94352710E-08  2.48870350E-08  3.18680660E-08  4.08073370E-08  5.22541520E-08  6.69118990E-08  8.56812720E-08  1.09715620E-07  1.40491810E-07  1.79900990E-07  2.30364790E-07  2.94984130E-07  3.77729760E-07  4.83686270E-07  6.19364500E-07  7.93101660E-07  1.01557360E-06  1.30045090E-06  1.66523880E-06  2.13235280E-06  2.73049640E-06  3.49642460E-06  4.47720220E-06  5.73309660E-06  7.34128040E-06  9.40057380E-06  1.20375170E-05  1.54141460E-05  1.97379490E-05  2.52746160E-05  3.23643670E-05  4.14428550E-05  5.30679380E-05  6.79539590E-05  8.70156390E-05  1.11424290E-04  1.42679780E-04  1.82702700E-04  2.33952410E-04  2.99578100E-04  3.83612380E-04  4.91219010E-04  6.29010240E-04  8.05453120E-04  1.03138980E-03  1.32070360E-03  1.69117250E-03  2.16556120E-03  2.77302010E-03  3.55087650E-03  4.54692850E-03  5.82238170E-03  7.45561070E-03  9.54697470E-03  1.22249850E-02  1.56542000E-02  2.00453400E-02  2.56682330E-02  3.28683970E-02  4.20882700E-02  5.38943980E-02  6.90122480E-02  8.83707870E-02  1.00000000E-01  1.12162160E-01  1.24324320E-01  1.36486490E-01  1.48648650E-01  1.60810810E-01  1.72972970E-01  1.85135140E-01  1.97297300E-01  2.09459460E-01  2.21621620E-01  2.33783780E-01  2.45945950E-01  2.58108110E-01  2.70270270E-01  2.82432430E-01  2.94594590E-01  3.06756760E-01  3.18918920E-01  3.31081080E-01  3.43243240E-01  3.55405410E-01  3.67567570E-01  3.79729730E-01  3.91891890E-01  4.04054050E-01  4.16216220E-01  4.28378380E-01  4.40540540E-01  4.52702700E-01  4.64864860E-01  4.77027030E-01  4.89189190E-01  5.01351350E-01  5.13513510E-01  5.25675680E-01  5.37837840E-01  5.50000000E-01  5.62162160E-01  5.74324320E-01  5.86486490E-01  5.98648650E-01  6.10810810E-01  6.22972970E-01  6.35135140E-01  6.47297300E-01  6.59459460E-01  6.71621620E-01  6.83783780E-01  6.95945950E-01  7.08108110E-01  7.20270270E-01  7.32432430E-01  7.44594590E-01  7.56756760E-01  7.68918920E-01  7.81081080E-01  7.93243240E-01  8.05405410E-01  8.17567570E-01  8.29729730E-01  8.41891890E-01  8.54054050E-01  8.66216220E-01  8.78378380E-01  8.90540540E-01  9.02702700E-01  9.14864860E-01  9.27027030E-01  9.39189190E-01  9.51351350E-01  9.63513510E-01  9.75675680E-01  9.87837840E-01  1.00000000E+00
  1.65000000E+00  1.78743880E+00  1.94290530E+00  2.11937490E+00  2.32041000E+00  2.55029450E+00  2.81420250E+00  3.11841230E+00  3.47057750E+00  3.88007520E+00  4.35845160E+00  4.92000000E+00
 -5 -4 -3 -2 -1 21  1  2  3  4  5
 -8.49535616E+04 -8.51369718E+04 -8.89537928E+04 -8.70871877E+04 -8.88557995E+04  1.49670213E+06 -8.88562228E+04 -8.70876249E+04 -8.89535304E+04 -8.51370756E+04 -8.49536655E+04
 -9.60993542E+04 -9.71305944E+04 -1.00928345E+05 -9.90799326E+04 -1.00827833E+05  1.69891597E+06 -1.00828265E+05 -9.90803781E+04 -1.00928081E+05 -9.71307012E+04 -9.60994609E+04
 -1.08764526E+05 -1.10734159E+05 -1.14513196E+05 -1.12682624E+05 -1.14410237E+05  1.93033653E+06 -1.14410677E+05 -1.12683078E+05 -1.14512930E+05 -1.10734269E+05 -1.08764635E+05
 -1.23076683E+05 -1.26082740E+05 -1.29843414E+05 -1.28030345E+05 -1.29738078E+05  2.19406140E+06 -1.29738526E+05 -1.28030808E+05 -1.29843147E+05 -1.26082853E+05 -1.23076795E+05
 -1.39177418E+05 -1.43326317E+05 -1.47068925E+05 -1.45273038E+05 -1.46961278E+05  2.49346547E+06 -1.46961733E+05 -1.45273509E+05 -1.47068657E+05 -1.43326433E+05 -1.39177532E+05
 -1.57199142E+05 -1.62607070E+05 -1.66331928E+05 -1.64552916E+05 -1.66222034E+05  2.83203966E+06 -1.66222498E+05 -1.64553394E+05 -1.66331659E+05 -1.62607189E+05 -1.57199259E+05
 -1.77293283E+05 -1.84087599E+05 -1.87794994E+05 -1.86032565E+05 -1.87682916E+05  3.21338621E+06 -1.87683386E+05 -1.86033051E+05 -1.87794722E+05 -1.84087721E+05 -1.77293404E+05
 -1.99610569E+05 -2.07930838E+05 -2.11621043E+05 -2.09874918E+05 -2.11506840E+05  3.64143044E+06 -2.11507319E+05 -2.09875412E+05 -2.11620771E+05 -2.07930963E+05 -1.99610692E+05
 -2.24296876E+05 -2.34299290E+05 -2.37972563E+05 -2.36242474E+05 -2.37856293E+05  4.11980092E+06 -2.37856778E+05 -2.36242976E+05 -2.37972290E+05 -2.34299417E+05 -2.24297002E+05
 -2.51521227E+05 -2.63375547E+05 -2.67032133E+05 -2.65317825E+05 -2.66913850E+05  4.65309143E+06 -2.66914343E+05 -2.65318337E+05 -2.67031859E+05 -2.63375678E+05 -2.51521355E+05
 -2.81428338E+05 -2.95329231E+05 -2.98969364E+05 -2.97270594E+05 -2.98849121E+05  5.24467249E+06 -2.98849621E+05 -2.97271112E+05 -2.98969088E+05 -2.95329365E+05 -2.81428469E+05
 -3.14211545E+05 -3.30367612E+05 -3.33991509E+05 -3.32308048E+05 -3.33869360E+05  5.90019285E+06 -3.33869866E+05 -3.32308570E+05 -3.33991232E+05 -3.30367748E+05 -3.14211679E+05
 -8.05987528E+04 -8.07761458E+04 -8.44317102E+04 -8.27346236E+04 -8.43029094E+04  1.42147898E+06 -8.43033729E+04 -8.27351020E+04 -8.44314296E+04 -8.07762607E+04 -8.05988677E+04
 -9.11416774E+04 -9.21241269E+04 -9.57617331E+04 -9.40812291E+04 -9.56310247E+04  1.61314270E+06 -9.56314965E+04 -9.40817166E+04 -9.57614507E+04 -9.21242452E+04 -9.11417954E+04
 -1.03094974E+05 -1.04968023E+05 -1.08588006E+05 -1.06923759E+05 -1.08455449E+05  1.83215512E+06 -1.08455929E+05 -1.06924255E+05 -1.08587722E+05 -1.04968145E+05 -1.03095095E+05
 -1.16574561E+05 -1.19430757E+05 -1.23033431E+05 -1.21385134E+05 -1.22899081E+05  2.08130766E+06 -1.22899570E+05 -1.21385639E+05 -1.23033146E+05 -1.19430882E+05 -1.16574685E+05
 -1.31699000E+05 -1.35638786E+05 -1.39224449E+05 -1.37591810E+05 -1.39088361E+05  2.36362038E+06 -1.39088858E+05 -1.37592324E+05 -1.39224163E+05 -1.35638914E+05 -1.31699127E+05
 -1.48594396E+05 -1.53727379E+05 -1.57296313E+05 -1.55679051E+05 -1.57158539E+05  2.68224376E+06 -1.57159044E+05 -1.55679575E+05 -1.57296025E+05 -1.53727510E+05 -1.48594525E+05
 -1.67388445E+05 -1.73834783E+05 -1.77387256E+05 -1.75785107E+05 -1.77247845E+05  3.04044689E+06 -1.77248360E+05 -1.75785639E+05 -1.77386966E+05 -1.73834918E+05 -1.67388577E+05
 -1.88212317E+05 -1.96103715E+05 -1.99639979E+05 -1.98052688E+05 -1.99498980E+05  3.44168734E+06 -1.99499503E+05 -1.98053228E+05 -1.99639688E+05 -1.96103853E+05 -1.88212453E+05
 -2.11194850E+05 -2.20678527E+05 -2.24198822E+05 -2.22626147E+05 -2.24056283E+05  3.88921585E+06 -2.24056814E+05 -2.22626696E+05 -2.24198529E+05 -2.20678669E+05 -2.11194989E+05
 -2.36483364E+05 -2.47719591E+05 -2.51224144E+05 -2.49665851E+05 -2.51080109E+05  4.38711760E+06 -2.51080649E+05 -2.49666410E+05 -2.51223850E+05 -2.47719735E+05 -2.36483506E+05
 -2.64204301E+05 -2.77376304E+05 -2.80865330E+05 -2.79321200E+05 -2.80719843E+05  4.93837344E+06 -2.80720390E+05 -2.79321769E+05 -2.80865033E+05 -2.77376451E+05 -2.64204446E+05
 -2.94524456E+05 -3.09829314E+05 -3.13303018E+05 -3.11772839E+05 -3.13156123E+05  5.54796900E+06 -3.13156678E+05 -3.11773418E+05 -3.13302723E+05 -3.09829464E+05 -2.94524604E+05
 -7.64524679E+04 -7.66239635E+04 -8.01277053E+04 -7.85871006E+04 -7.99736322E+04  1.35002274E+06 -7.99741385E+04 -7.85876238E+04 -8.01274043E+04 -7.66240905E+04 -7.64525950E+04
 -8.64192392E+04 -8.73548419E+04 -9.08416071E+04 -8.93160957E+04 -9.06861576E+04  1.53163674E+06 -9.06866731E+04 -8.93166286E+04 -9.08413052E+04 -8.73549728E+04 -8.64193697E+04
 -9.76930697E+04 -9.94735147E+04 -1.02943613E+05 -1.01432902E+05 -1.02786837E+05  1.73876787E+06 -1.02787362E+05 -1.01433445E+05 -1.02943309E+05 -9.94736492E+04 -9.76932035E+04
 -1.10377300E+05 -1.13089885E+05 -1.16543611E+05 -1.15047421E+05 -1.16385553E+05  1.97400122E+06 -1.16386088E+05 -1.15047974E+05 -1.16543305E+05 -1.13090023E+05 -1.10377437E+05
 -1.24575093E+05 -1.28314540E+05 -1.31752175E+05 -1.30270238E+05 -1.31592878E+05  2.24000566E+06 -1.31593423E+05 -1.30270801E+05 -1.31751866E+05 -1.28314682E+05 -1.24575233E+05
 -1.40397626E+05 -1.45267273E+05 -1.48689077E+05 -1.47221143E+05 -1.48528584E+05  2.53963323E+06 -1.48529138E+05 -1.47221717E+05 -1.48688767E+05 -1.45267419E+05 -1.40397770E+05
 -1.57955670E+05 -1.64068832E+05 -1.67475057E+05 -1.66020883E+05 -1.67313408E+05  2.87578756E+06 -1.67313971E+05 -1.66021466E+05 -1.67474744E+05 -1.64068981E+05 -1.57955817E+05
 -1.77365504E+05 -1.84846282E+05 -1.88237163E+05 -1.86796518E+05 -1.88074397E+05  3.25157732E+06 -1.88074970E+05 -1.86797111E+05 -1.88236849E+05 -1.84846435E+05 -1.77365654E+05
 -1.98738596E+05 -2.07725693E+05 -2.11101455E+05 -2.09674118E+05 -2.10937609E+05  3.66988094E+06 -2.10938190E+05 -2.09674721E+05 -2.11101139E+05 -2.07725849E+05 -1.98738750E+05
 -2.22202616E+05 -2.32847223E+05 -2.36208078E+05 -2.34793840E+05 -2.36043188E+05  4.13431441E+06 -2.36043780E+05 -2.34794452E+05 -2.36207761E+05 -2.32847383E+05 -2.22202773E+05
 -2.47867444E+05 -2.60341880E+05 -2.63688031E+05 -2.62286689E+05 -2.63522132E+05  4.64751180E+06 -2.63522731E+05 -2.62287309E+05 -2.63687711E+05 -2.60342043E+05 -2.47867604E+05
 -2.75876030E+05 -2.90366331E+05 -2.93697968E+05 -2.92309330E+05 -2.93531095E+05  5.21384646E+06 -2.93531703E+05 -2.92309960E+05 -2.93697643E+05 -2.90366498E+05 -2.75876193E+05
 -7.25084390E+04 -7.26741712E+04 -7.60354018E+04 -7.46371858E+04 -7.58616878E+04  1.28205353E+06 -7.58622408E+04 -7.46377580E+04 -7.60350794E+04 -7.26743119E+04 -7.25085797E+04
 -8.19226403E+04 -8.28136596E+04 -8.61587755E+04 -8.47742998E+04 -8.59841435E+04  1.45401554E+06 -8.59847085E+04 -8.47748840E+04 -8.61584475E+04 -8.28138045E+04 -8.19227847E+04
 -9.25499755E+04 -9.42424680E+04 -9.75717586E+04 -9.62007638E+04 -9.73962481E+04  1.64983748E+06 -9.73968227E+04 -9.62013585E+04 -9.75714295E+04 -9.42426172E+04 -9.25501236E+04
 -1.04469831E+05 -1.07046137E+05 -1.10359879E+05 -1.09002112E+05 -1.10183525E+05  1.87167612E+06 -1.10184110E+05 -1.09002717E+05 -1.10359550E+05 -1.07046290E+05 -1.04469983E+05
 -1.17785555E+05 -1.21334963E+05 -1.24633421E+05 -1.23288640E+05 -1.24456257E+05  2.12212871E+06 -1.24456852E+05 -1.23289255E+05 -1.24633090E+05 -1.21335120E+05 -1.17785710E+05
 -1.32587309E+05 -1.37207237E+05 -1.40490658E+05 -1.39158631E+05 -1.40312717E+05  2.40363974E+06 -1.40313322E+05 -1.39159257E+05 -1.40490326E+05 -1.37207398E+05 -1.32587468E+05
 -1.48974988E+05 -1.54772185E+05 -1.58040805E+05 -1.56721312E+05 -1.57862118E+05  2.71885018E+06 -1.57862733E+05 -1.56721949E+05 -1.58040473E+05 -1.54772349E+05 -1.48975150E+05
 -1.67047280E+05 -1.74138814E+05 -1.77392857E+05 -1.76085688E+05 -1.77213455E+05  3.07049103E+06 -1.77214079E+05 -1.76086335E+05 -1.77392524E+05 -1.74138983E+05 -1.67047446E+05
 -1.86901405E+05 -1.95417834E+05 -1.98657511E+05 -1.97362466E+05 -1.98477423E+05  3.46111783E+06 -1.98478057E+05 -1.97363123E+05 -1.98657176E+05 -1.95418006E+05 -1.86901574E+05
 -2.08647029E+05 -2.18730934E+05 -2.21956446E+05 -2.20673333E+05 -2.21775702E+05  3.89391576E+06 -2.21776345E+05 -2.20674000E+05 -2.21956110E+05 -2.18731111E+05 -2.08647203E+05
