PdfType: central
Format: lhagrid1
---
  1.00000000E-09  1.28050870E-09  1.63970270E-09  2.09965360E-09  2.68862480E-09  3.44280760E-09  4.40854520E-09  5.64518080E-09  7.22870340E-09  9.25641790E-09  1.18529240E-08  1.51777730E-08  1.94352710E-08  2.48870350E-08  3.18680660E-08  4.08073370E-08  5.22541520E-08  6.69118990E-08  8.56812720E-08  1.09715620E-07  1.40491810E-07  1.79900990E-07  2.30364790E-07  2.94984130E-07  3.77729760E-07  4.83686270E-07  6.19364500E-07  7.93101660E-07  1.01557360E-06  1.30045090E-06  1.66523880E-06  2.13235280E-06  2.73049640E-06  3.49642460E-06  4.47720220E-06  5.73309660E-06  7.34128040E-06  9.40057380E-06  1.20375170E-05  1.54141460E-05  1.97379490E-05  2.52746160E-05  3.23643670E-05  4.14428550E-05  5.30679380E-05  6.79539590E-05  8.70156390E-05  1.11424290E-04  1.42679780E-04  1.82702700E-04  2.33952410E-04  2.99578100E-04  3.83612380E-04  4.91219010E-04  6.29010240E-04  8.05453120E-04  1.03138980E-03  1.32070360E-03  1.69117250E-03  2.16556120E-03  2.77302010E-03  3.55087650E-03  4.54692850E-03  5.82238170E-03  7.45561070E-03  9.54697470E-03  1.22249850E-02  1.56542000E-02  2.00453400E-02  2.56682330E-02  3.28683970E-02  4.20882700E-02  5.38943980E-02  6.90122480E-02  8.83707870E-02  1.00000000E-01  1.12162160E-01  1.24324320E-01  1.36486490E-01  1.48648650E-01  1.60810810E-01  1.72972970E-01  1.85135140E-01  1.97297300E-01  2.09459460E-01  2.21621620E-01  2.33783780E-01  2.45945950E-01  2.58108110E-01  2.70270270E-01  2.82432430E-01  2.94594590E-01  3.06756760E-01  3.18918920E-01  3.31081080E-01  3.43243240E-01  3.55405410E-01  3.67567570E-01  3.79729730E-01  3.91891890E-01  4.04054050E-01  4.16216220E-01  4.28378380E-01  4.40540540E-01  4.52702700E-01  4.64864860E-01  4.77027030E-01  4.89189190E-01  5.01351350E-01  5.13513510E-01  5.25675680E-01  5.37837840E-01  5.50000000E-01  5.62162160E-01  5.74324320E-01  5.86486490E-01  5.98648650E-01  6.10810810E-01  6.22972970E-01  6.35135140E-01  6.47297300E-01  6.59459460E-01  6.71621620E-01  6.83783780E-01  6.95945950E-01  7.08108110E-01  7.20270270E-01  7.32432430E-01  7.44594590E-01  7.56756760E-01  7.68918920E-01  7.81081080E-01  7.93243240E-01  8.05405410E-01  8.17567570E-01  8.29729730E-01  8.41891890E-01  8.54054050E-01  8.66216220E-01  8.78378380E-01  8.90540540E-01  9.02702700E-01  9.14864860E-01  9.27027030E-01  9.39189190E-01  9.51351350E-01  9.63513510E-01  9.75675680E-01  9.87837840E-01  1.00000000E+00
  1.65000000E+00  1.78743880E+00  1.94290530E+00  2.11937490E+00  2.32041000E+00  2.55029450E+00  2.81420250E+00  3.11841230E+00  3.47057750E+00  3.88007520E+00  4.35845160E+00  4.92000000E+00
 -5 -4 -3 -2 -1 21  1  2  3  4  5
  1.09128148E+01  1.07611080E+01  7.59932233E+00  9.33570850E+00  7.64274120E+00 -1.75701118E+02  7.64278550E+00  9.33576463E+00  7.59934904E+00  1.07611080E+01  1.09128148E+01
  1.16193492E+01  1.07405572E+01  7.59482015E+00  9.31442299E+00  7.64111827E+00 -1.81718265E+02  7.64117445E+00  9.31447981E+00  7.59485059E+00  1.07405576E+01  1.16193492E+01
  1.24585083E+01  1.07735462E+01  7.64355109E+00  9.34671973E+00  7.69267090E+00 -1.89048253E+02  7.69271449E+00  9.34677642E+00  7.64358450E+00  1.07735466E+01  1.24585083E+01
  1.34919240E+01  1.09151098E+01  7.80057035E+00  9.48760411E+00  7.85242588E+00 -1.98637335E+02  7.85246910E+00  9.48766092E+00  7.80060569E+00  1.09151106E+01  1.34919240E+01
  1.47947541E+01  1.12330322E+01  8.13367657E+00  9.80487261E+00  8.18819755E+00 -2.11666838E+02  8.18824093E+00  9.80492968E+00  8.13371496E+00  1.12330330E+01  1.47947541E+01
  1.64572699E+01  1.18090540E+01  8.72461526E+00  1.03802567E+01  8.78173393E+00 -2.29588510E+02  8.78177692E+00  1.03803144E+01  8.72465614E+00  1.18090551E+01  1.64572699E+01
  1.85855976E+01  1.27394514E+01  9.66969917E+00  1.13100546E+01  9.72934949E+00 -2.54138849E+02  9.72939312E+00  1.13101129E+01  9.66974356E+00  1.27394528E+01  1.85855976E+01
  2.13042047E+01  1.41380908E+01  1.10827975E+01  1.27081239E+01  1.11449164E+01 -2.87367178E+02  1.11449593E+01  1.27081821E+01  1.10828436E+01  1.41380921E+01  2.13042047E+01
  2.47546076E+01  1.61316467E+01  1.30906015E+01  1.47011436E+01  1.31551263E+01 -3.31697346E+02  1.31551694E+01  1.47012018E+01  1.30906508E+01  1.61316485E+01  2.47546076E+01
  2.91034269E+01  1.88752384E+01  1.58482586E+01  1.74442433E+01  1.59151249E+01 -3.89878950E+02  1.59151659E+01  1.74442992E+01  1.58483104E+01  1.88752395E+01  2.91034269E+01
  3.45283412E+01  2.25238225E+01  1.95108241E+01  2.10924277E+01  1.95799264E+01 -4.65098944E+02  1.95799629E+01  2.10924770E+01  1.95108840E+01  2.25238246E+01  3.45283412E+01
  4.12552076E+01  2.72920861E+01  2.42924286E+01  2.58617852E+01  2.43655442E+01 -5.61065644E+02  2.43652559E+01  2.58613950E+01  2.42906397E+01  2.72920881E+01  4.12552076E+01
  1.03036672E+01  1.01564614E+01  7.13267212E+00  8.71071899E+00  7.21045095E+00 -1.65301571E+02  7.21049459E+00  8.71077687E+00  7.13271010E+00  1.01564614E+01  1.03036672E+01
  1.09851785E+01  1.01478424E+01  7.13910834E+00  8.70187677E+00  7.21914380E+00 -1.71167566E+02  7.21918453E+00  8.70193501E+00  7.13915084E+00  1.01478426E+01  1.09851785E+01
