0.0005d0   565479.003257564d0
0.000516250827251552d0   530721.87437027d0
0.0005330298332758236d0   498106.18233401d0
0.0005503541847568015d0   467499.738422549d0
0.0005682416063241046d0   438778.531792489d0
0.0005867103986871396d0   411826.243963675d0
0.0006057794573586473d0   386533.663542225d0
0.000625468291986796d0   362798.450683115d0
0.0006457970463155974d0   340524.498060177d0
0.000666786518794072d0   319621.661943254d0
0.0006884581838552445d0   300005.380935818d0
0.0007108342138867422d0   281596.27416969d0
0.0007339375019154746d0   264319.917849082d0
0.0007577916850296027d0   248106.460694244d0
0.0007824211685617599d0   232890.36017633d0
0.000807851151058269d0   218610.128821517d0
0.0008341076500598998d0   205208.07101743d0
0.0008612175287205427d0   192630.073807087d0
0.0008892085232910348d0   180825.327874695d0
0.0009181092714962553d0   169746.209229752d0
0.0009479493418345232d0   159347.975145803d0
0.0009787592638292738d0   149588.699603252d0
0.0010105705592639653d0   140429.013766194d0
0.0010434157744321712d0   131831.985680295d0
0.0010773285134358546d0   123762.970999569d0
0.0011123434725658892d0   116189.439858149d0
0.001148496475800009d0   109080.897639716d0
0.0011858245114544934d0   102408.711355515d0
0.0012243657700270996d0   96146.0341225141d0
0.001264159683269947d0   90267.6510021998d0
0.0013052469645323404d0   84749.913433645d0
0.001347669650414796d0   79570.6350079429d0
0.0013914711437768964d0   74708.9834907494d0
0.0014366962581429724d0   70145.4505218138d0
0.0014833912635510377d0   65861.6717263943d0
0.0015316039338918962d0   61840.4553060222d0
0.0015813835957868456d0   58065.6600560131d0
0.001632781179053986d0   54522.134889535d0
0.0016858492688147696d0   51195.6671897838d0
0.001740642159294098d0   48072.9180341664d0
0.0017972159093690117d0   45141.3707621994d0
0.0018556283999228052d0   42389.2775928994d0
0.0019159393930632438d0   39805.6179968172d0
0.0019782105932654725d0   37380.0463072198d0
0.0020425057105021675d0   35102.859873977d0
0.0021088905254255256d0   32964.948921746d0
0.002177432956667776d0   30957.7618626566d0
0.0022482031303290638d0   29073.2805680452d0
0.0023212734517238163d0   27303.9706874053d0
0.0023967186794589712d0   25642.7729703132d0
0.0024746160019198825d0   24083.0550191852d0
0.002555045116242136d0   22618.5945027045d0
0.0026380883098500807d0   21243.5515299161d0
0.002723830544645506d0   19952.4446749808d0
0.002812359543932576d0   18740.131534107d0
0.0029037658821679797d0   17601.7836541641d0
0.002998143077628105d0   16532.8710979992d0
0.003095587688088045d0   15529.1409087174d0
0.003196199409610346d0   14586.6023747927d0
0.0033000811785445267d0   13701.5103509607d0
0.0034073392768417775d0   12870.3476542455d0
0.0035180834407925452d0   12089.8160788715d0
0.0036324269732982764d0   11356.8158351446d0
0.0037504868597921723d0   10668.4450722632d0
0.0038723838879275697d0   10021.970828846d0
0.003998242771156378d0   9414.83274657148d0
0.004128192276324037d0   8844.62729628795d0
0.004262365355411504d0   8309.09772498642d0
0.0044008992815590875d0   7806.12737820986d0
0.004543935789511278d0   7333.72623940952d0
0.004691621220626263d0   6890.02880698154d0
0.00484410667259849d0   6473.28297260019d0
0.005001548154047467d0   6081.84426508876d0
0.005164106744130956d0   5714.1688760237d0
0.0053319487573458505d0   5368.80759747055d0
0.00550524591368536d0   5044.40006423905d0
0.005684175514326585d0   4739.68138352657d0
0.005868920623028233d0   4453.41542321234d0
0.006059670253424039d0   4184.51376046696d0
0.006256619562403565d0   3931.90808434171d0
0.006459970049778167d0   3694.60452212028d0
0.006669929764436459d0   3471.67235866512d0
0.00688671351720014d0   3262.2380006413d0
0.007110543100598033d0   3065.47980567917d0
0.007341647515783102d0   2880.62713056462d0
0.007580263206824657d0   2706.9560239434d0
0.007826634302615465d0   2543.78698010636d0
0.008081012866641216d0   2390.48202821172d0
0.008343659154867927d0   2246.4420622576d0
0.008614841882011106d0   2111.10450389893d0
0.008894838496459098d0   1983.94122448839d0
0.009183935464131923d0   1864.45671109697d0
0.009482428561565944d0   1752.183723276d0
0.009790623178524326d0   1646.6863944376d0
0.010108834630442804d0   1547.55351395233d0
0.01043738848103047d0   1454.40650548786d0
0.010776620875355601d0   1366.86198859039d0
0.011126878883757345d0   1284.60099428332d0
0.011488520856935112d0   1207.29743972542d0
0.011861916792578921d0   1134.65021598479d0
0.01224744871391589d0   1066.3785906076d0
0.012645511060560072d0   1002.21783563785d0
0.013056511092065577d0   941.919187624011d0
0.013480869304595841d0   885.249503145457d0
0.01391901986113531d0   831.989061184763d0
0.014371411035683774d0   781.93240976323d0
0.014838505671887665d0   734.886230400638d0
0.01532078165657771d0   690.668059385366d0
0.015818732408697293d0   649.108037998641d0
0.01633286738412183d0   610.045603028835d0
0.01686371259688557d0   573.330165067616d0
0.01741181115734919d0   538.82026357813d0
0.017977723827858647d0   506.383017694562d0
0.018562029596463917d0   475.893590325046d0
0.019165326269284577d0   447.234701761376d0
0.01978823108212813d0   420.296241628364d0
0.020431381331987047d0   394.974484581315d0
0.02109543502906046d0   371.172409516592d0
0.021781071569967666d0   348.798538443895d0
0.02248899243284213d0   327.767072666351d0
0.02321992189501729d0   307.997237814552d0
0.023974607774038204d0   289.413345944395d0
0.024753822192757426d0   271.94414935562d0
0.0255583623692977d0   255.522722117845d0
0.026389051432689752d0   240.086184454101d0
0.02724673926501967d0   225.575439405557d0
0.0281323033709475d0   211.934960408005d0
0.029046649775486558d0   199.112573414379d0
0.02999071395096208d0   187.059244415449d0
0.03096546177409766d0   175.728854815487d0
0.03197189051420848d0   165.078161826989d0
0.033011029853512334d0   155.066339749311d0
0.034083942940602865d0   145.65516155382d0
0.035191727478161836d0   136.808734979648d0
0.03633551684602447d0   128.493224011097d0
0.03751648126074566d0   120.676855413862d0
0.038735828972854575d0   113.329772476416d0
0.039994807503021645d0   106.423892922353d0
0.04129470491840296d0   99.932851697185d0
0.042636851150468544d0   93.8318400288111d0
0.04402261935566136d0   88.0975407590535d0
0.04545342732028072d0   82.7080209479453d0
0.04693073891102642d0   77.6427031231755d0
0.048456065572688015d0   72.8821932163701d0
0.05003096787451125d0   68.4082883237695d0
0.0516570571068245d0   64.2038625612954d0
0.05333599692955765d0   60.2528178035612d0
0.05506950507434073d0   56.5400247341267d0
0.05685935510192392d0   53.0512528448307d0
0.05870737821671594d0   49.7731162348823d0
0.060615465140298704d0   46.6930361087844d0
0.06258556804583364d0   43.7991838574976d0
0.06461970255533982d0   41.080435544505d0
0.06671994980188686d0   38.5263310888131d0
0.0688884585588122d0   36.1270349904499d0
0.07112744743814216d0   33.8732990829735d0
0.07343920716046433d0   31.7564213554678d0
0.07582610289857558d0   29.7682269937463d0
0.07829057669730194d0   27.9010219952427d0
0.0808351499719664d0   26.1475722492657d0
0.08346242608806186d0   24.5010754934943d0
0.0861750930247669d0   22.9551330569644d0
0.08897592612503079d0   21.5037248319417d0
0.09186779093504013d0   20.1411942349054d0
0.09485364613597425d0   18.8622194284848d0
0.09793654657104535d0   17.6617917561496d0
0.10111964637092459d0   16.535207015186d0
0.10440620218074848d0   15.4780252919631d0
0.10779957649200836d0   14.4860930624032d0
0.11130324108273261d0   13.5554885802538d0
0.11492078056947928d0   12.6825257120714d0
0.11865589607477556d0   11.8637400126495d0
0.1225124090137541d0   11.09587066316d0
0.12649426500386204d0   10.3758517701326d0
0.13060553790164173d0   9.70079901796457d0
0.13485043397071295d0   9.06799400401509d0
0.13923329618522273d0   8.47489178905639d0
0.14375860867316315d0   7.91908921046817d0
0.1484310013041053d0   7.39832840532909d0
0.1532552544260411d0   6.91048528996301d0
0.15823630375618156d0   6.45356009703725d0
0.16337924543071325d0   6.02568259502012d0
0.16868934121868007d0   5.62507599409205d0
0.1741720239053259d0   5.25008160531311d0
0.17983290285040313d0   4.89913546681642d0
0.18567776972713723d0   4.57076698230975d0
0.1917126044477156d0   4.26359347992168d0
0.19794358128136544d0   3.97631376176294d0
0.20437707517127945d0   3.70770459841062d0
0.21101966825685117d0   3.45661543011809d0
0.21787815660789508d0   3.22196409654863d0
0.224959557177738d0   3.00273309110622d0
0.23227111498230024d0   2.79796582905792d0
0.23982031051250566d0   2.60676224707208d0
0.24761486738761013d0   2.42827638363406d0
0.25566276025727436d0   2.26171296732667d0
0.2639722229604662d0   2.10632447366021d0
0.27255175694954364d0   1.96140673533066d0
0.2814101399881316d0   1.82630007010635d0
0.29055643513169616d0   1.70038266530563d0
0.3d0   1.5830716764364d0
0.3035d0   1.54254762722344d0
0.307d0   1.50350486559341d0
0.3105d0   1.46587512272624d0
0.314d0   1.42959375659732d0
0.3175d0   1.39459995492202d0
0.321d0   1.36083608942409d0
0.3245d0   1.32824771526754d0
0.328d0   1.29678329175971d0
0.3315d0   1.26639402087628d0
0.335d0   1.23703368695027d0
0.3385d0   1.20865847190914d0
0.342d0   1.18122682507536d0
0.3455d0   1.15469930360071d0
0.349d0   1.12903847684376d0
0.3525d0   1.10420876509107d0
0.356d0   1.08017650055936d0
0.3595d0   1.05690943165071d0
