0.0005d0   130832.038842035d0
0.000516250827251552d0   122734.603998927d0
0.0005330298332758236d0   115138.47352807d0
0.0005503541847568015d0   108012.598525785d0
0.0005682416063241046d0   101327.856401142d0
0.0005867103986871396d0   95056.9322475064d0
0.0006057794573586473d0   89174.2000324253d0
0.000625468291986796d0   83655.627881892d0
0.0006457970463155974d0   78478.6630175526d0
0.000666786518794072d0   73622.1540092828d0
0.0006884581838552445d0   69066.2592899921d0
0.0007108342138867422d0   64792.3661954783d0
0.0007339375019154746d0   60783.0148559399d0
0.0007577916850296027d0   57021.8244893107d0
0.0007824211685617599d0   53493.4319685526d0
0.000807851151058269d0   50183.4243479609d0
0.0008341076500598998d0   47078.2808241496d0
0.0008612175287205427d0   44165.3171609375d0
0.0008892085232910348d0   41432.6362198935d0
0.0009181092714962553d0   38869.0782814863d0
0.0009479493418345232d0   36464.195378325d0
0.0009787592638292738d0   34208.094726531d0
0.0010105705592639653d0   32091.6352383261d0
0.0010434157744321712d0   30106.1484591423d0
0.0010773285134358546d0   28243.532286984d0
0.0011123434725658892d0   26496.1750524941d0
0.001148496475800009d0   24856.9437716381d0
0.0011858245114544934d0   23319.1462514779d0
0.0012243657700270996d0   21876.5033312758d0
0.001264159683269947d0   20523.1261659282d0
0.0013052469645323404d0   19253.4877511423d0
0.001347669650414796d0   18062.4069298752d0
0.0013914711437768964d0   16945.0209181938d0
0.0014366962581429724d0   15896.7688137289d0
0.0014833912635510377d0   14913.3718523788d0
0.0015316039338918962d0   13990.8157604029d0
0.0015813835957868456d0   13125.3370236919d0
0.001632781179053986d0   12313.4008215424d0
0.0016858492688147696d0   11551.6950082146d0
0.001740642159294098d0   10837.1112349969d0
0.0017972159093690117d0   10166.7331802856d0
0.0018556283999228052d0   9537.82548941952d0
0.0019159393930632438d0   8947.82195084133d0
0.0019782105932654725d0   8394.31532796762d0
0.0020425057105021675d0   7875.04778376259d0
0.0021088905254255256d0   7387.89925811645d0
0.002177432956667776d0   6930.88401087261d0
0.0022482031303290638d0   6502.13668452329d0
0.0023212734517238163d0   6099.90949954549d0
0.0023967186794589712d0   5722.56009013831d0
0.0024746160019198825d0   5368.55058183096d0
0.002555045116242136d0   5036.43706062623d0
0.0026380883098500807d0   4724.86353368467d0
0.002723830544645506d0   4432.56140840179d0
0.002812359543932576d0   4158.33621004385d0
0.0029037658821679797d0   3901.07131965775d0
0.002998143077628105d0   3659.71729082741d0
0.003095587688088045d0   3433.2896626531d0
0.003196199409610346d0   3220.86533623495d0
0.0033000811785445267d0   3021.57806533616d0
0.0034073392768417775d0   2834.61539122091d0
0.0035180834407925452d0   2659.21495018891d0
0.0036324269732982764d0   2494.66156518072d0
0.0037504868597921723d0   2340.28444132236d0
0.0038723838879275697d0   2195.45419886324d0
0.003998242771156378d0   2059.58037069761d0
0.004128192276324037d0   1932.10918412717d0
0.004262365355411504d0   1812.52080159538d0
