0.0005d0   -1764.04579678824d0
0.000516250827251552d0   -1685.67074736671d0
0.0005330298332758236d0   -1610.68463792529d0
0.0005503541847568015d0   -1538.94442325454d0
0.0005682416063241046d0   -1470.31359089512d0
0.0005867103986871396d0   -1404.65875630171d0
0.0006057794573586473d0   -1341.85583927227d0
0.000625468291986796d0   -1281.78339115253d0
0.0006457970463155974d0   -1224.3256823992d0
0.000666786518794072d0   -1169.37148170812d0
0.0006884581838552445d0   -1116.81474133391d0
0.0007108342138867422d0   -1066.55321475357d0
0.0007339375019154746d0   -1018.4894524059d0
0.0007577916850296027d0   -972.529399518088d0
0.0007824211685617599d0   -928.583599862731d0
0.000807851151058269d0   -886.56608654526d0
0.0008341076500598998d0   -846.394288935254d0
0.0008612175287205427d0   -807.989251449921d0
0.0008892085232910348d0   -771.275326480591d0
0.0009181092714962553d0   -736.180017854286d0
0.0009479493418345232d0   -702.633704671895d0
0.0009787592638292738d0   -670.570063357637d0
0.0010105705592639653d0   -639.925132645836d0
0.0010434157744321712d0   -610.637931689205d0
0.0010773285134358546d0   -582.64985244868d0
0.0011123434725658892d0   -555.904895004326d0
0.001148496475800009d0   -530.349318646221d0
0.0011858245114544934d0   -505.931712678041d0
0.0012243657700270996d0   -482.602775970625d0
0.001264159683269947d0   -460.315385531725d0
0.0013052469645323404d0   -439.024276160792d0
0.001347669650414796d0   -418.686213155874d0
0.0013914711437768964d0   -399.259718611549d0
0.0014366962581429724d0   -380.705152479528d0
0.0014833912635510377d0   -362.984467743697d0
0.0015316039338918962d0   -346.061287503595d0
0.0015813835957868456d0   -329.900745320461d0
0.001632781179053986d0   -314.469730645676d0
0.0016858492688147696d0   -299.735679724009d0
0.001740642159294098d0   -285.66859746528d0
0.0017972159093690117d0   -272.23902936149d0
0.0018556283999228052d0   -259.418952955165d0
0.0019159393930632438d0   -247.181546051868d0
0.0019782105932654725d0   -235.501141231133d0
0.0020425057105021675d0   -224.353163347593d0
0.0021088905254255256d0   -213.71409740973d0
0.002177432956667776d0   -203.561432527689d0
0.0022482031303290638d0   -193.87363359258d0
0.0023212734517238163d0   -184.630088092866d0
0.0023967186794589712d0   -175.811078971552d0
0.0024746160019198825d0   -167.397716157718d0
0.002555045116242136d0   -159.371961740117d0
0.0026380883098500807d0   -151.716541575261d0
0.002723830544645506d0   -144.41491913478d0
0.002812359543932576d0   -137.451273539717d0
0.0029037658821679797d0   -130.810508079486d0
0.002998143077628105d0   -124.478135649811d0
0.003095587688088045d0   -118.440327686812d0
0.003196199409610346d0   -112.683830642895d0
0.0033000811785445267d0   -107.1960036721d0
0.0034073392768417775d0   -101.964734447625d0
0.0035180834407925452d0   -96.9784412596989d0
0.0036324269732982764d0   -92.2260732338082d0
0.0037504868597921723d0   -87.6970251099006d0
0.0038723838879275697d0   -83.381182623942d0
0.003998242771156378d0   -79.2688627072467d0
0.004128192276324037d0   -75.3508203942253d0
0.004262365355411504d0   -71.6182154491987d0
0.0044008992815590875d0   -68.0625937498933d0
0.004543935789511278d0   -64.6758666808345d0
0.004691621220626263d0   -61.4503188459486d0
0.00484410667259849d0   -58.3785574642109d0
0.005001548154047467d0   -55.4535470326215d0
0.005164106744130956d0   -52.6685309106226d0
0.0053319487573458505d0   -50.0170642112229d0
0.00550524591368536d0   -47.492976535715d0
0.005684175514326585d0   -45.0904557514865d0
0.005868920623028233d0   -42.8038101261463d0
0.006059670253424039d0   -40.6276959463857d0
0.006256619562403565d0   -38.5569864993049d0
0.006459970049778167d0   -36.5867829391066d0
0.006669929764436459d0   -34.7124054040583d0
0.00688671351720014d0   -32.9293861667363d0
0.007110543100598033d0   -31.2334603323512d0
0.007341647515783102d0   -29.6205519912032d0
0.007580263206824657d0   -28.0867620185946d0
0.007826634302615465d0   -26.6283893227541d0
0.008081012866641216d0   -25.2418771724504d0
0.008343659154867927d0   -23.9238404175255d0
0.008614841882011106d0   -22.6710470460931d0
0.008894838496459098d0   -21.4804114870004d0
0.009183935464131923d0   -20.3489919400997d0
0.009482428561565944d0   -19.2739597294673d0
0.009790623178524326d0   -18.2526542192043d0
0.010108834630442804d0   -17.2825051200886d0
0.01043738848103047d0   -16.3610691887351d0
0.010776620875355601d0   -15.4860179513986d0
0.011126878883757345d0   -14.6551266560512d0
0.011488520856935112d0   -13.8662733206865d0
0.011861916792578921d0   -13.117435418691d0
0.01224744871391589d0   -12.4066828624327d0
0.012645511060560072d0   -11.7321735183995d0
0.013056511092065577d0   -11.0921530770228d0
0.013480869304595841d0   -10.4849469758921d0
0.01391901986113531d0   -9.90895506685963d0
0.014371411035683774d0   -9.36266848830746d0
0.014838505671887665d0   -8.84462247133442d0
0.01532078165657771d0   -8.35343830641232d0
0.015818732408697293d0   -7.8877996809034d0
0.01633286738412183d0   -7.44644784645635d0
0.01686371259688557d0   -7.02818625363286d0
0.01741181115734919d0   -6.63187466110902d0
0.017977723827858647d0   -6.25642341886984d0
0.018562029596463917d0   -5.90079859925539d0
0.019165326269284577d0   -5.56401318421818d0
0.01978823108212813d0   -5.24512696100221d0
0.020431381331987047d0   -4.94324561364995d0
0.02109543502906046d0   -4.6575123281275d0
0.021781071569967666d0   -4.38711941110936d0
0.02248899243284213d0   -4.1312925146508d0
0.02321992189501729d0   -3.88929530972349d0
0.023974607774038204d0   -3.66042687302352d0
0.024753822192757426d0   -3.44402020496586d0
0.0255583623692977d0   -3.23944016826105d0
0.026389051432689752d0   -3.04608303196857d0
0.02724673926501967d0   -2.86337279790411d0
0.0281323033709475d0   -2.69076421506341d0
0.029046649775486558d0   -2.52773301051225d0
0.02999071395096208d0   -2.37378756800954d0
0.03096546177409766d0   -2.22845549038439d0
0.03197189051420848d0   -2.09128936545673d0
0.033011029853512334d0   -1.96186273092051d0
0.034083942940602865d0   -1.83977078921518d0
0.035191727478161836d0   -1.72462818216344d0
0.03633551684602447d0   -1.61607017188811d0
0.03751648126074566d0   -1.51374582071017d0
0.038735828972854575d0   -1.41732741729278d0
0.039994807503021645d0   -1.32649973708069d0
0.04129470491840296d0   -1.24096429452852d0
0.042636851150468544d0   -1.16043731550862d0
0.04402261935566136d0   -1.08464964946567d0
0.04545342732028072d0   -1.01334539323324d0
0.04693073891102642d0   -0.946281578272744d0
0.048456065572688015d0   -0.883227030782276d0
0.05003096787451125d0   -0.823964341765328d0
0.0516570571068245d0   -0.7682840248625d0
0.05333599692955765d0   -0.715989547155233d0
0.05506950507434073d0   -0.666893533618376d0
0.05685935510192392d0   -0.620818335106255d0
0.05870737821671594d0   -0.577595753325693d0
0.060615465140298704d0   -0.537065758660783d0
0.06258556804583364d0   -0.499076789786337d0
0.06461970255533982d0   -0.463485523324525d0
0.06671994980188686d0   -0.430155413146193d0
0.0688884585588122d0   -0.398957499493569d0
0.07112744743814216d0   -0.369769430006102d0
0.07343920716046433d0   -0.342475332114413d0
0.07582610289857558d0   -0.31696532674186d0
0.07829057669730194d0   -0.293135488885406d0
0.0808351499719664d0   -0.270887304284163d0
0.08346242608806186d0   -0.25012757683445d0
0.0861750930247669d0   -0.230768006273312d0
0.08897592612503079d0   -0.212725053566554d0
0.09186779093504013d0   -0.195919795958992d0
0.09485364613597425d0   -0.180277378489343d0
0.09793654657104535d0   -0.165727126354664d0
0.10111964637092459d0   -0.152202189622368d0
0.10440620218074848d0   -0.139639381437377d0
0.10779957649200836d0   -0.127978978705816d0
0.11130324108273261d0   -0.117164559038263d0
0.11492078056947928d0   -0.107142805486917d0
0.11865589607477556d0   -0.0978633940104933d0
0.1225124090137541d0   -0.0892788269964606d0
0.12649426500386204d0   -0.0813442322006152d0
0.13060553790164173d0   -0.0740173058895675d0
0.13485043397071295d0   -0.0672581447959583d0
0.13923329618522273d0   -0.0610291063566327d0
0.14375860867316315d0   -0.0552947211399435d0
0.1484310013041053d0   -0.0500215752481718d0
0.1532552544260411d0   -0.0451781780338162d0
0.15823630375618156d0   -0.0407349073959033d0
0.16337924543071325d0   -0.0366638525597441d0
0.16868934121868007d0   -0.0329387751126307d0
0.1741720239053259d0   -0.0295349950057904d0
0.17983290285040313d0   -0.026429320039314d0
0.18567776972713723d0   -0.0235999584033197d0
0.1917126044477156d0   -0.0210264495751795d0
0.19794358128136544d0   -0.018689590013135d0
0.20437707517127945d0   -0.0165713719706621d0
0.21101966825685117d0   -0.0146549128153945d0
0.21787815660789508d0   -0.0129243997624358d0
0.224959557177738d0   -0.01136502723082d0
0.23227111498230024d0   -0.00996294858793951d0
0.23982031051250566d0   -0.00870521920711281d0
0.24761486738761013d0   -0.00757974984704913d0
0.25566276025727436d0   -0.00657525911852407d0
0.2639722229604662d0   -0.00568122973089301d0
0.27255175694954364d0   -0.00488786624893912d0
0.2814101399881316d0   -0.00418605525680328d0
0.29055643513169616d0   -0.00356732767215506d0
0.3d0   -0.00302382259306244d0
0.3035d0   -0.0028438731258231d0
0.307d0   -0.00267444054763757d0
0.3105d0   -0.00251488681494961d0
0.314d0   -0.00236461549380963d0
0.3175d0   -0.00222306927002546d0
0.321d0   -0.00208972667292769d0
0.3245d0   -0.0019640992507379d0
0.328d0   -0.00184573154262404d0
