PdfType: central
Format: lhagrid1
---
  1.00000000E-09  1.28050870E-09  1.63970270E-09  2.09965360E-09  2.68862480E-09  3.44280760E-09  4.40854520E-09  5.64518080E-09  7.22870340E-09  9.25641790E-09  1.18529240E-08  1.51777730E-08  1.94352710E-08  2.48870350E-08  3.18680660E-08  4.08073370E-08  5.22541520E-08  6.69118990E-08  8.56812720E-08  1.09715620E-07  1.40491810E-07  1.79900990E-07  2.30364790E-07  2.94984130E-07  3.77729760E-07  4.83686270E-07  6.19364500E-07  7.93101660E-07  1.01557360E-06  1.30045090E-06  1.66523880E-06  2.13235280E-06  2.73049640E-06  3.49642460E-06  4.47720220E-06  5.73309660E-06  7.34128040E-06  9.40057380E-06  1.20375170E-05  1.54141460E-05  1.97379490E-05  2.52746160E-05  3.23643670E-05  4.14428550E-05  5.30679380E-05  6.79539590E-05  8.70156390E-05  1.11424290E-04  1.42679780E-04  1.82702700E-04  2.33952410E-04  2.99578100E-04  3.83612380E-04  4.91219010E-04  6.29010240E-04  8.05453120E-04  1.03138980E-03  1.32070360E-03  1.69117250E-03  2.16556120E-03  2.77302010E-03  3.55087650E-03  4.54692850E-03  5.82238170E-03  7.45561070E-03  9.54697470E-03  1.22249850E-02  1.56542000E-02  2.00453400E-02  2.56682330E-02  3.28683970E-02  4.20882700E-02  5.38943980E-02  6.90122480E-02  8.83707870E-02  1.00000000E-01  1.12162160E-01  1.24324320E-01  1.36486490E-01  1.48648650E-01  1.60810810E-01  1.72972970E-01  1.85135140E-01  1.97297300E-01  2.09459460E-01  2.21621620E-01  2.33783780E-01  2.45945950E-01  2.58108110E-01  2.70270270E-01  2.82432430E-01  2.94594590E-01  3.06756760E-01  3.18918920E-01  3.31081080E-01  3.43243240E-01  3.55405410E-01  3.67567570E-01  3.79729730E-01  3.91891890E-01  4.04054050E-01  4.16216220E-01  4.28378380E-01  4.40540540E-01  4.52702700E-01  4.64864860E-01  4.77027030E-01  4.89189190E-01  5.01351350E-01  5.13513510E-01  5.25675680E-01  5.37837840E-01  5.50000000E-01  5.62162160E-01  5.74324320E-01  5.86486490E-01  5.98648650E-01  6.10810810E-01  6.22972970E-01  6.35135140E-01  6.47297300E-01  6.59459460E-01  6.71621620E-01  6.83783780E-01  6.95945950E-01  7.08108110E-01  7.20270270E-01  7.32432430E-01  7.44594590E-01  7.56756760E-01  7.68918920E-01  7.81081080E-01  7.93243240E-01  8.05405410E-01  8.17567570E-01  8.29729730E-01  8.41891890E-01  8.54054050E-01  8.66216220E-01  8.78378380E-01  8.90540540E-01  9.02702700E-01  9.14864860E-01  9.27027030E-01  9.39189190E-01  9.51351350E-01  9.63513510E-01  9.75675680E-01  9.87837840E-01  1.00000000E+00
  1.65000000E+00  1.78743880E+00  1.94290530E+00  2.11937490E+00  2.32041000E+00  2.55029450E+00  2.81420250E+00  3.11841230E+00  3.47057750E+00  3.88007520E+00  4.35845160E+00  4.92000000E+00
 -5 -4 -3 -2 -1 21  1  2  3  4  5
  4.65189706E+05  4.65902828E+05  4.85070345E+05  4.64827491E+05  4.88769870E+05  4.91608157E+07  4.88766899E+05  4.64824472E+05  4.85073527E+05  4.65902818E+05  4.65189706E+05
  6.14876291E+05  6.20683913E+05  6.39719452E+05  6.19669002E+05  6.43345999E+05  5.31351976E+07  6.43343071E+05  6.19665931E+05  6.39722698E+05  6.20683894E+05  6.14876291E+05
  7.74620245E+05  7.86120301E+05  8.05026732E+05  7.85165310E+05  8.08581719E+05  5.65397667E+07  8.08578735E+05  7.85162197E+05  8.05029949E+05  7.86120318E+05  7.74620245E+05
  9.42121457E+05  9.59967365E+05  9.78747393E+05  9.59071451E+05  9.82232523E+05  5.92638112E+07  9.82229513E+05  9.59068323E+05  9.78750772E+05  9.59967326E+05  9.42121457E+05
  1.11505163E+06  1.13995645E+06  1.15861298E+06  1.13911894E+06  1.16202959E+06  6.12458090E+07  1.16202654E+06  1.13911584E+06  1.15861630E+06  1.13995649E+06  1.11505163E+06
  1.29094816E+06  1.32369323E+06  1.34222618E+06  1.32291333E+06  1.34557587E+06  6.23063007E+07  1.34557279E+06  1.32291009E+06  1.34222969E+06  1.32369317E+06  1.29094816E+06
  1.46723452E+06  1.50868012E+06  1.52709688E+06  1.50795707E+06  1.53038092E+06  6.23872512E+07  1.53037766E+06  1.50795372E+06  1.52710027E+06  1.50868003E+06  1.46723452E+06
  1.64115365E+06  1.69223405E+06  1.71053457E+06  1.69156736E+06  1.71375438E+06  6.13977802E+07  1.71375113E+06  1.69156403E+06  1.71053813E+06  1.69223403E+06  1.64115365E+06
  1.81017158E+06  1.87195701E+06  1.89014335E+06  1.87134576E+06  1.89330022E+06  5.92517695E+07  1.89329685E+06  1.87134236E+06  1.89014704E+06  1.87195695E+06  1.81017158E+06
  1.97103752E+06  2.04465841E+06  2.06273268E+06  2.04410210E+06  2.06582774E+06  5.58716587E+07  2.06582430E+06  2.04409870E+06  2.06273643E+06  2.04465854E+06  1.97103752E+06
  2.12149898E+06  2.20831906E+06  2.22628352E+06  2.20781699E+06  2.22931769E+06  5.11752917E+07  2.22931436E+06  2.20781340E+06  2.22628727E+06  2.20831911E+06  2.12149898E+06
  2.25768441E+06  2.35907589E+06  2.37693208E+06  2.35862763E+06  2.37990682E+06  4.52018727E+07  2.37990323E+06  2.35862350E+06  2.37693573E+06  2.35907599E+06  2.25768441E+06
  4.81165482E+05  4.81881061E+05  5.01184362E+05  4.80666362E+05  5.04938636E+05  4.78818971E+07  5.04935879E+05  4.80663540E+05  5.01187505E+05  4.81881060E+05  4.81165482E+05
  6.24828969E+05  6.30700408E+05  6.49870509E+05  6.29547810E+05  6.53551080E+05  5.12120154E+07  6.53548313E+05  6.29544946E+05  6.49873681E+05  6.30700397E+05  6.24828969E+05
