# ptl4
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.99115369E-03	 0.13713295E-04
# sum	 0.15099720    	 0.11342772E-03
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	 0.94551036E-02	 0.24034361E-04
  15.000000    	  30.000000    	 0.39979333E-01	 0.51830309E-04
  30.000000    	  45.000000    	 0.39168459E-01	 0.60231929E-04
  45.000000    	  60.000000    	 0.24580547E-01	 0.44557164E-04
  60.000000    	  75.000000    	 0.15974222E-01	 0.38224155E-04
  75.000000    	  90.000000    	 0.95720450E-02	 0.30949477E-04
  90.000000    	  105.00000    	 0.54807472E-02	 0.24505519E-04
  105.00000    	  120.00000    	 0.31022853E-02	 0.19473252E-04
  120.00000    	  135.00000    	 0.17241595E-02	 0.15698412E-04
  135.00000    	  150.00000    	 0.96914635E-03	 0.12466383E-04
