PdfType: central
Format: lhagrid1
---
  1.00000000E-09  1.28050870E-09  1.63970270E-09  2.09965360E-09  2.68862480E-09  3.44280760E-09  4.40854520E-09  5.64518080E-09  7.22870340E-09  9.25641790E-09  1.18529240E-08  1.51777730E-08  1.94352710E-08  2.48870350E-08  3.18680660E-08  4.08073370E-08  5.22541520E-08  6.69118990E-08  8.56812720E-08  1.09715620E-07  1.40491810E-07  1.79900990E-07  2.30364790E-07  2.94984130E-07  3.77729760E-07  4.83686270E-07  6.19364500E-07  7.93101660E-07  1.01557360E-06  1.30045090E-06  1.66523880E-06  2.13235280E-06  2.73049640E-06  3.49642460E-06  4.47720220E-06  5.73309660E-06  7.34128040E-06  9.40057380E-06  1.20375170E-05  1.54141460E-05  1.97379490E-05  2.52746160E-05  3.23643670E-05  4.14428550E-05  5.30679380E-05  6.79539590E-05  8.70156390E-05  1.11424290E-04  1.42679780E-04  1.82702700E-04  2.33952410E-04  2.99578100E-04  3.83612380E-04  4.91219010E-04  6.29010240E-04  8.05453120E-04  1.03138980E-03  1.32070360E-03  1.69117250E-03  2.16556120E-03  2.77302010E-03  3.55087650E-03  4.54692850E-03  5.82238170E-03  7.45561070E-03  9.54697470E-03  1.22249850E-02  1.56542000E-02  2.00453400E-02  2.56682330E-02  3.28683970E-02  4.20882700E-02  5.38943980E-02  6.90122480E-02  8.83707870E-02  1.00000000E-01  1.12162160E-01  1.24324320E-01  1.36486490E-01  1.48648650E-01  1.60810810E-01  1.72972970E-01  1.85135140E-01  1.97297300E-01  2.09459460E-01  2.21621620E-01  2.33783780E-01  2.45945950E-01  2.58108110E-01  2.70270270E-01  2.82432430E-01  2.94594590E-01  3.06756760E-01  3.18918920E-01  3.31081080E-01  3.43243240E-01  3.55405410E-01  3.67567570E-01  3.79729730E-01  3.91891890E-01  4.04054050E-01  4.16216220E-01  4.28378380E-01  4.40540540E-01  4.52702700E-01  4.64864860E-01  4.77027030E-01  4.89189190E-01  5.01351350E-01  5.13513510E-01  5.25675680E-01  5.37837840E-01  5.50000000E-01  5.62162160E-01  5.74324320E-01  5.86486490E-01  5.98648650E-01  6.10810810E-01  6.22972970E-01  6.35135140E-01  6.47297300E-01  6.59459460E-01  6.71621620E-01  6.83783780E-01  6.95945950E-01  7.08108110E-01  7.20270270E-01  7.32432430E-01  7.44594590E-01  7.56756760E-01  7.68918920E-01  7.81081080E-01  7.93243240E-01  8.05405410E-01  8.17567570E-01  8.29729730E-01  8.41891890E-01  8.54054050E-01  8.66216220E-01  8.78378380E-01  8.90540540E-01  9.02702700E-01  9.14864860E-01  9.27027030E-01  9.39189190E-01  9.51351350E-01  9.63513510E-01  9.75675680E-01  9.87837840E-01  1.00000000E+00
  1.65000000E+00  1.78743880E+00  1.94290530E+00  2.11937490E+00  2.32041000E+00  2.55029450E+00  2.81420250E+00  3.11841230E+00  3.47057750E+00  3.88007520E+00  4.35845160E+00  4.92000000E+00
 -5 -4 -3 -2 -1 21  1  2  3  4  5
  3.36256057E+04  3.36281240E+04  3.37070414E+04  3.35628937E+04  3.37371757E+04 -3.94810281E+05  3.37370885E+04  3.35628020E+04  3.37071272E+04  3.36281240E+04  3.36256057E+04
  3.83009332E+04  3.83316110E+04  3.84098866E+04  3.82670812E+04  3.84394465E+04 -4.48103418E+05  3.84393585E+04  3.82669881E+04  3.84099728E+04  3.83316109E+04  3.83009332E+04
  4.35952798E+04  4.36577613E+04  4.37354099E+04  4.35939213E+04  4.37644073E+04 -5.08473194E+05  4.37643180E+04  4.35938269E+04  4.37354963E+04  4.36577611E+04  4.35952798E+04
  4.95281310E+04  4.96264098E+04  4.97034450E+04  4.95632479E+04  4.97318922E+04 -5.76194258E+05  4.97318018E+04  4.95631523E+04  4.97035324E+04  4.96264094E+04  4.95281310E+04
  5.61175197E+04  5.62559633E+04  5.63324005E+04  5.61934710E+04  5.63603082E+04 -6.51551071E+05  5.63602166E+04  5.61933742E+04  5.63324880E+04  5.62559629E+04  5.61175197E+04
  6.33682701E+04  6.35516684E+04  6.36275198E+04  6.34898350E+04  6.36548994E+04 -7.34763807E+05  6.36548066E+04  6.34897366E+04  6.36276081E+04  6.35516677E+04  6.33682701E+04
  7.12850415E+04  7.15186669E+04  7.15939452E+04  7.14574829E+04  7.16208069E+04 -8.26016354E+05  7.16207125E+04  7.14573829E+04  7.15940334E+04  7.15186660E+04  7.12850415E+04
  7.98609269E+04  8.01505176E+04  8.02252350E+04  8.00899747E+04  8.02515890E+04 -9.25445569E+05  8.02514936E+04  8.00898736E+04  8.02253242E+04  8.01505169E+04  7.98609269E+04
  8.90791684E+04  8.94313337E+04  8.95055011E+04  8.93714223E+04  8.95313571E+04 -1.03315126E+06  8.95312602E+04  8.93713197E+04  8.95055910E+04  8.94313327E+04  8.90791684E+04
  9.89151905E+04  9.93368460E+04  9.94104780E+04  9.92775619E+04  9.94358446E+04 -1.14914698E+06  9.94357465E+04  9.92774583E+04  9.94105685E+04  9.93368456E+04  9.89151905E+04
  1.09334608E+05  1.09834285E+05  1.09907386E+05  1.09775613E+05  1.09932271E+05 -1.27346088E+06  1.09932172E+05  1.09775508E+05  1.09907476E+05  1.09834284E+05  1.09334608E+05
  1.20286659E+05  1.20872750E+05  1.20945331E+05  1.20814686E+05  1.20969745E+05 -1.40592696E+06  1.20969644E+05  1.20814578E+05  1.20945422E+05  1.20872749E+05  1.20286659E+05
  3.19003636E+04  3.19029601E+04  3.19765898E+04  3.18432783E+04  3.20015351E+04 -3.73775666E+05  3.20014417E+04  3.18431794E+04  3.19766811E+04  3.19029601E+04  3.19003636E+04
  3.63143226E+04  3.63439289E+04  3.64170017E+04  3.62849278E+04  3.64414391E+04 -4.24093965E+05  3.64413443E+04  3.62848275E+04  3.64170931E+04  3.63439288E+04  3.63143226E+04
