# ./gen_qed_grid -in masters-LUXqed17_PDF4LHC15_nnlo_30/LUXqed17_PDF4LHC15_nnlo_30-mu2-10000-imem-7.dat -Qlo 10 -option 5 -mt 1e9 -iy-inc -1 -ymax 12.0 -pdftype error -out lhapdf-grids/LUXqed17_plus_PDF4LHC15_nnlo_30/LUXqed17_plus_PDF4LHC15_nnlo_30_0007.dat
# Stamped by ./gen_qed_grid on  3/08/2017 at 07:03:51
# option =   5, gluon_momadjust_power =   0.000
 # using LHAPDF, pdf = PDF4LHC15_nnlo_30, imem =            7
 # Qphoton =    100.00000000000000     
# charm mass = 1.3000000E+00, charm_scheme_is_msbar = F
# bottom mass = 4.5600000E+00, bottom_scheme_is_msbar = F
# top mass = 1.0000000E+09, top_scheme_is_msbar = F
 # nloop_qcd =            3
 # nqcdloop_qed =            1
 # 1/QED coupling at MZ =    128.57560041661816     
 # QCD coupling at MZ =   0.11800021884307436     
# ymax =  12.000000,  dy =  0.100000
 # Qlo =   10.000000000000000      , Qhi =    100000.00000000000     
# before readjustments: mom_photon =    0.0031848, mom_gluon =    0.4548970, mom_weighted_gluon =    0.4548970
# total momentum  (final) at Qlo (& components) 0.9993249 0.0000000 0.0048252 0.0138758 0.0225079 0.0336938 0.0384720 0.4517122 0.1312900 0.2566049 0.0245261 0.0138166 0.0048157 0.0000000 0.0000000 0.0031848 0.0000000 0.0000000 0.0000000
# total number  (final) at Qlo (& components)  3.0459938  0.9994344  2.0689605 -0.0220518 -0.0003002 -0.0000492  0.0000000
# description = Photon generated at scale   100.0 GeV, other partons matched at scale    10.0 GeV, photon momentum absorbed by adjusting g(x) -> g(x) -  0.00700 * x^{0.000} g(x) at scale     10.0 GeV
# iy_increment =   -1
# dzeta_def =    0.30000, zeta_a =   10.00000, zeta_b =    5.00000
PdfType: error
Format: lhagrid1
---
 6.1442124E-06 8.2936352E-06 1.1194904E-05 1.5110938E-05 2.0396541E-05 2.7530467E-05 3.7158640E-05 5.0152366E-05 6.7686698E-05 9.1345808E-05 1.2326451E-04 1.6631795E-04 2.2437529E-04 3.0263781E-04 4.0808748E-04 5.5007849E-04 7.4111067E-04 9.9782918E-04 1.3422959E-03 1.8035700E-03 2.4196114E-03 3.2394636E-03 4.3255786E-03 5.7559903E-03 7.6258360E-03 1.0047507E-02 1.3148571E-02 1.7066724E-02 2.1941529E-02 2.7903648E-02 3.5063318E-02 4.3500507E-02 5.3258925E-02 6.4344971E-02 7.6731190E-02 9.0362742E-02 1.0516500E-01 1.2105078E-01 1.3792623E-01 1.5569518E-01 1.7426191E-01 1.9353276E-01 2.1341683E-01 2.3382624E-01 2.5467604E-01 2.7588402E-01 2.9737071E-01 3.1905927E-01 3.4087579E-01 3.6274949E-01 3.8461320E-01 4.0640386E-01 4.2806301E-01 4.4953726E-01 4.7077868E-01 4.9174506E-01 5.1240004E-01 5.3271304E-01 5.5265917E-01 5.7221885E-01 5.9137751E-01 6.1012510E-01 6.2845560E-01 6.4636656E-01 6.6385855E-01 6.8093470E-01 6.9760029E-01 7.1386231E-01 7.2972912E-01 7.4521012E-01 7.6031550E-01 7.7505598E-01 7.8944265E-01 8.0348676E-01 8.1719965E-01 8.3059260E-01 8.4367673E-01 8.5646300E-01 8.6896209E-01 8.8118439E-01 8.9313999E-01 9.0483864E-01 9.1628974E-01 9.2750234E-01 9.3848513E-01 9.4924647E-01 9.5979436E-01 9.7013648E-01 9.8028016E-01 9.9023242E-01 1.0000000E+00
 1.0000000E+01 1.1234806E+01 1.2659297E+01 1.4307519E+01 1.6220454E+01 1.8447586E+01 2.1048871E+01 2.4097196E+01 2.7681476E+01 3.1910572E+01 3.6918243E+01 4.2869461E+01 4.9968470E+01 5.8469126E+01 6.8688212E+01 8.1022659E+01 9.5971915E+01 1.1416713E+02 1.3640937E+02 1.6372003E+02 1.9740732E+02 2.3915485E+02 2.9113982E+02 3.5619166E+02 4.3800614E+02 5.4143578E+02 6.7288588E+02 8.4085756E+02 1.0566967E+03 1.3356326E+03 1.6982275E+03 2.1724107E+03 2.7963523E+03 3.6225477E+03 4.7236606E+03 6.2009390E+03 8.1964185E+03 1.0910740E+04 1.4629356E+04 1.9761344E+04 2.6897347E+04 3.6896708E+04 5.1019543E+04 7.1128563E+04 1.0000000E+05
  -5  -4  -3  -2  -1  21   1   2   3   4   5  22
  1.0612577E+00  2.4416862E+00  3.2903684E+00  3.3360669E+00  3.3958350E+00  6.2510895E+01  3.4084718E+00  3.4646672E+00  3.2490394E+00  2.4418067E+00  1.0612772E+00  1.8497601E-01
  1.2799406E+00  2.6541599E+00  3.4983606E+00  3.5448183E+00  3.6038317E+00  6.8602517E+01  3.6163292E+00  3.6715744E+00  3.4576823E+00  2.6542842E+00  1.2799632E+00  1.9673205E-01
  1.5096434E+00  2.8777094E+00  3.7174914E+00  3.7646926E+00  3.8229659E+00  7.5087994E+01  3.8353280E+00  3.8896381E+00  3.6774523E+00  2.8778373E+00  1.5096689E+00  2.0942832E-01
  1.7507955E+00  3.1127612E+00  3.9481866E+00  3.9961151E+00  4.0536630E+00  8.1977643E+01  4.0658937E+00  4.1192827E+00  3.9087754E+00  3.1128926E+00  1.7508238E+00  2.2312843E-01
  2.0038310E+00  3.3597467E+00  4.1908765E+00  4.2395155E+00  4.2963537E+00  8.9281598E+01  4.3084567E+00  4.3609372E+00  4.1520822E+00  3.3598814E+00  2.0038620E+00  2.3789983E-01
  2.2691885E+00  3.6191017E+00  4.4459964E+00  4.4953284E+00  4.5514730E+00  9.7009806E+01  4.5634522E+00  4.6150354E+00  4.4078082E+00  3.6192397E+00  2.2692222E+00  2.5381407E-01
  2.5473112E+00  3.8912663E+00  4.7139859E+00  4.7639926E+00  4.8194607E+00  1.0517202E+02  4.8313197E+00  4.8820153E+00  4.6763935E+00  3.8914075E+00  2.5473474E+00  2.7094699E-01
  2.8386461E+00  4.1766848E+00  4.9952890E+00  5.0459512E+00  5.1007607E+00  1.1377779E+02  5.1125031E+00  5.1623193E+00  4.9582821E+00  4.1768291E+00  2.8386847E+00  2.8937892E-01
  3.1436441E+00  4.4758053E+00  5.2903536E+00  5.3416511E+00  5.3958209E+00  1.2283645E+02  5.4074504E+00  5.4563934E+00  5.2539224E+00  4.4759526E+00  3.1436851E+00  3.0919499E-01
  3.4627599E+00  4.7890795E+00  5.5996315E+00  5.6515428E+00  5.7050932E+00  1.3235713E+02  5.7166131E+00  5.7646877E+00  5.5637662E+00  4.7892296E+00  3.4628032E+00  3.3048528E-01
  3.7964515E+00  5.1169622E+00  5.9235778E+00  5.9760801E+00  6.0290328E+00  1.4234872E+02  6.0404465E+00  6.0876553E+00  5.8882690E+00  5.1171152E+00  3.7964969E+00  3.5334514E-01
  4.1451799E+00  5.4599116E+00  6.2626510E+00  6.3157201E+00  6.3680981E+00  1.5281990E+02  6.3794090E+00  6.4257526E+00  6.2278895E+00  5.4600673E+00  4.1452274E+00  3.7787546E-01
  4.5094090E+00  5.8183883E+00  6.6173126E+00  6.6709225E+00  6.7227505E+00  1.6377910E+02  6.7339620E+00  6.7794387E+00  6.5830894E+00  5.8185467E+00  4.5094587E+00  4.0418289E-01
  4.8896054E+00  6.1928555E+00  6.9880266E+00  7.0421495E+00  7.0934542E+00  1.7523449E+02  7.1045694E+00  7.1491753E+00  6.9543328E+00  6.1930165E+00  4.8896570E+00  4.3238020E-01
  5.2862378E+00  6.5837786E+00  7.3752593E+00  7.4298654E+00  7.4806755E+00  1.8719403E+02  7.4916976E+00  7.5354262E+00  7.3420865E+00  6.5839421E+00  5.2862913E+00  4.6258654E-01
  5.6997766E+00  6.9916245E+00  7.7794793E+00  7.8345364E+00  7.8848829E+00  1.9966538E+02  7.8958151E+00  7.9386570E+00  7.7468190E+00  6.9917904E+00  5.6998320E+00  4.9492779E-01
  6.1306943E+00  7.4168617E+00  8.2011566E+00  8.2566302E+00  8.3065465E+00  2.1265597E+02  8.3173918E+00  8.3593349E+00  8.1690006E+00  7.4170301E+00  6.1307514E+00  5.2953686E-01
  6.5794642E+00  7.8599600E+00  8.6407628E+00  8.6966156E+00  8.7461379E+00  2.2617292E+02  8.7568993E+00  8.7979283E+00  8.6091030E+00  7.8601307E+00  6.5795231E+00  5.6655408E-01
  7.0465608E+00  8.3213896E+00  9.0987703E+00  9.1549622E+00  9.2041295E+00  2.4022311E+02  9.2148100E+00  9.2549062E+00  9.0675988E+00  8.3215626E+00  7.0466214E+00  6.0612750E-01
