  -5  -4  -3  -2  -1  21   1   2   3   4   5  22
  7.6221585E+00  8.9920999E+00  9.6464672E+00  9.7231833E+00  9.7808859E+00  2.5517104E+02  9.7033254E+00  9.7832245E+00  9.6697341E+00  8.9922769E+00  7.6222226E+00  6.5075514E-01
  8.1262209E+00  9.4889101E+00  1.0141777E+01  1.0218352E+01  1.0275633E+01  2.7030008E+02  1.0199369E+01  1.0277691E+01  1.0164675E+01  9.4890893E+00  8.1262865E+00  6.9599502E-01
  8.6500532E+00  1.0005504E+01  1.0656924E+01  1.0733313E+01  1.0790225E+01  2.8598191E+02  1.0715240E+01  1.0791961E+01  1.0679459E+01  1.0005685E+01  8.6501204E+00  7.4428686E-01
  9.1941309E+00  1.0542351E+01  1.1192382E+01  1.1268535E+01  1.1325136E+01  3.0222223E+02  1.1251411E+01  1.1326506E+01  1.1214561E+01  1.0542534E+01  9.1941996E+00  7.9581377E-01
  9.7589285E+00  1.1099920E+01  1.1748625E+01  1.1824488E+01  1.1880838E+01  3.1902644E+02  1.1808356E+01  1.1881793E+01  1.1770451E+01  1.1100106E+01  9.7589986E+00  8.5076871E-01
  1.0344919E+01  1.1678679E+01  1.2326124E+01  1.2401638E+01  1.2457802E+01  3.3639964E+02  1.2386547E+01  1.2458290E+01  1.2347604E+01  1.1678866E+01  1.0344991E+01  9.0935491E-01
  1.0952574E+01  1.2279093E+01  1.2925349E+01  1.3000450E+01  1.3056499E+01  3.5434659E+02  1.2986453E+01  1.3056460E+01  1.2946487E+01  1.2279282E+01  1.0952647E+01  9.7178638E-01
  1.1582364E+01  1.2901624E+01  1.3546768E+01  1.3621386E+01  1.3677397E+01  3.7287174E+02  1.3608544E+01  1.3676766E+01  1.3567570E+01  1.2901815E+01  1.1582438E+01  1.0382884E+00
  1.2234755E+01  1.3546732E+01  1.4190848E+01  1.4264908E+01  1.4320962E+01  3.9197923E+02  1.4253285E+01  1.4319669E+01  1.4211318E+01  1.3546925E+01  1.2234830E+01  1.1090982E+00
  1.2910211E+01  1.4214876E+01  1.4858051E+01  1.4931471E+01  1.4987656E+01  4.1167286E+02  1.4921141E+01  1.4985625E+01  1.4878195E+01  1.4215071E+01  1.2910288E+01  1.1844652E+00
  1.3609195E+01  1.4906508E+01  1.5548837E+01  1.5621529E+01  1.5677939E+01  4.3195607E+02  1.5612570E+01  1.5675086E+01  1.5568659E+01  1.4906704E+01  1.3609273E+01  1.2646519E+00
  1.4332163E+01  1.5622077E+01  1.6263663E+01  1.6335530E+01  1.6392268E+01  4.5283201E+02  1.6328029E+01  1.6388502E+01  1.6283167E+01  1.5622275E+01  1.4332242E+01  1.3499344E+00
  1.5079569E+01  1.6362029E+01  1.7002981E+01  1.7073920E+01  1.7131095E+01  4.7430347E+02  1.7067972E+01  1.7126318E+01  1.7022173E+01  1.6362229E+01  1.5079649E+01  1.4406028E+00
  1.5851863E+01  1.7126804E+01  1.7767238E+01  1.7837139E+01  1.7894867E+01  4.9637289E+02  1.7832845E+01  1.7888972E+01  1.7786123E+01  1.7127005E+01  1.5851944E+01  1.5369623E+00
  1.6649488E+01  1.7916835E+01  1.8556880E+01  1.8625620E+01  1.8684029E+01  5.1904236E+02  1.8623094E+01  1.8676900E+01  1.8575460E+01  1.7917038E+01  1.6649570E+01  1.6393334E+00
  1.7472884E+01  1.8732554E+01  1.9372343E+01  1.9439794E+01  1.9499018E+01  5.4231366E+02  1.9439156E+01  1.9490530E+01  1.9390624E+01  1.8732757E+01  1.7472967E+01  1.7480532E+00
  1.8322484E+01  1.9574381E+01  2.0214059E+01  2.0280081E+01  2.0340267E+01  5.6618817E+02  2.0281463E+01  2.0330285E+01  2.0232046E+01  1.9574586E+01  1.8322568E+01  1.8634754E+00
  1.9198716E+01  2.0442733E+01  2.1082457E+01  2.1146900E+01  2.1208202E+01  5.9066696E+02  2.1150443E+01  2.1196581E+01  2.1100153E+01  2.0442940E+01  1.9198801E+01  1.9859717E+00
  2.0102002E+01  2.1338021E+01  2.1977955E+01  2.2040657E+01  2.2103242E+01  6.1575072E+02  2.2046516E+01  2.2089825E+01  2.1995365E+01  2.1338229E+01  2.0102087E+01  2.1159326E+00
  2.1032754E+01  2.2260644E+01  2.2900968E+01  2.2961756E+01  2.3025803E+01  6.4143981E+02  2.2970096E+01  2.3010421E+01  2.2918096E+01  2.2260854E+01  2.1032841E+01  2.2537676E+00
  2.1991382E+01  2.3210997E+01  2.3851902E+01  2.3910589E+01  2.3976289E+01  6.6773421E+02  2.3921588E+01  2.3958761E+01  2.3868751E+01  2.3211208E+01  2.1991469E+01  2.3999069E+00
  2.2978283E+01  2.4189466E+01  2.4831154E+01  2.4887541E+01  2.4955099E+01  6.9463356E+02  2.4901393E+01  2.4935231E+01  2.4847729E+01  2.4189679E+01  2.2978372E+01  2.5548020E+00
  2.3993851E+01  2.5196428E+01  2.5839117E+01  2.5892990E+01  2.5962625E+01  7.2213714E+02  2.5909899E+01  2.5940206E+01  2.5855421E+01  2.5196641E+01  2.3993940E+01  2.7189265E+00
  2.5038466E+01  2.6232249E+01  2.6876171E+01  2.6927303E+01  2.6999247E+01  7.5024388E+02  2.6947491E+01  2.6974054E+01  2.6892209E+01  2.6232463E+01  2.5038556E+01  2.8927773E+00
  2.6112506E+01  2.7297287E+01  2.7942692E+01  2.7990837E+01  2.8065340E+01  7.7895234E+02  2.8014542E+01  2.8037134E+01  2.7958467E+01  2.7297503E+01  2.6112596E+01  3.0768756E+00
  2.7216333E+01  2.8391891E+01  2.9039043E+01  2.9083941E+01  2.9161269E+01  8.0826074E+02  2.9111415E+01  2.9129791E+01  2.9054559E+01  2.8392108E+01  2.7216424E+01  3.2717683E+00
  1.0675733E+00  2.4457687E+00  3.1025507E+00  3.1821875E+00  3.2356448E+00  5.8417707E+01  3.1636904E+00  3.2377994E+00  3.1238479E+00  2.4459016E+00  1.0675948E+00  1.7487383E-01
  1.2661603E+00  2.6368673E+00  3.2915731E+00  3.3714243E+00  3.4240651E+00  6.3961186E+01  3.3534518E+00  3.4262982E+00  3.3124926E+00  2.6370045E+00  1.2661853E+00  1.8566326E-01
  1.4745003E+00  2.8378014E+00  3.4904592E+00  3.5705176E+00  3.6223590E+00  6.9848362E+01  3.5530623E+00  3.6246699E+00  3.5110083E+00  2.8379426E+00  1.4745288E+00  1.9729580E-01
  1.6929523E+00  3.0489263E+00  3.6995640E+00  3.7798219E+00  3.8308813E+00  7.6087195E+01  3.7628774E+00  3.8332683E+00  3.7197498E+00  3.0490715E+00  1.6929841E+00  2.0982718E-01
  1.9218782E+00  3.2706003E+00  3.9192458E+00  3.9996946E+00  4.0499899E+00  8.2685454E+01  3.9832558E+00  4.0524506E+00  3.9390752E+00  3.2707493E+00  1.9219131E+00  2.2331645E-01
