# ptl1
# underflow	  0.0000000    	  0.0000000    
# overflow	-0.61609141E-01	 0.75608387E-04
# sum	-0.22035960    	 0.16034750E-03
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	  0.0000000    	  0.0000000    
  15.000000    	  30.000000    	-0.23947477E-03	 0.81858523E-05
  30.000000    	  45.000000    	-0.55442803E-02	 0.42181759E-04
  45.000000    	  60.000000    	-0.30003153E-01	 0.78290142E-04
  60.000000    	  75.000000    	-0.31103115E-01	 0.54599945E-04
  75.000000    	  90.000000    	-0.24629400E-01	 0.47810630E-04
  90.000000    	  105.00000    	-0.19991680E-01	 0.43942427E-04
  105.00000    	  120.00000    	-0.17408485E-01	 0.41858025E-04
  120.00000    	  135.00000    	-0.15745917E-01	 0.40239549E-04
  135.00000    	  150.00000    	-0.14084955E-01	 0.38075910E-04
